aziz,-1.1720419374044087
miyan,-1.0931264748122107
bhi_shamil,-1.2011924973035621
lekin,-1.1481905060139
top_of,-0.9386007726679124
the_list,-0.8785694168758461
samjha_jata,-1.2076823347671943
urooj,-1.010809059445985
ki_daastan,-1.0672986773861128
qabil_e,-1.2908709137892247
dilchasp,-1.2460276463279742
mauseeqi,-1.189245872763082
shauq,-1.2096224212658033
paida_hua,-1.0282359379893031
inho_ne,-1.124239010856221
shuru_kar,-1.107625145098648
diya,-1.150475191274654
jab,-1.220693307686472
school,-1.164313925132396
teachers,-1.1913189992765814
ne,-1.089208016518462
ki_awaaz,-1.1587324402857953
ke_songs,-1.1267482030144793
ki_farmaiysh,-1.0200002728876563
hausla_afzaai,-1.0681329994409872
karne,-1.159879540048601
ke_sath,-1.1338320473858003
sath,-1.139688674449418
dars,-1.1306513658164763
dete,-1.2525826101523854
rehte,-1.092571681683884
chorna,-1.1426954234153508
wohi,-1.1839519546900774
bana,-1.1294536137106528
yahin,-1.0878479138580797
qismat,-1.2186722899586686
devi,-1.1449741462601057
par,-1.1287598351610248
hui,-1.1964704589865938
a,-1.0432063965993392
rehmat,-1.150756394287223
gramophone,-0.9589710659228193
house,-1.1195077141340564
naami,-1.2254657937892923
aik,-1.063075847841428
company_ne,-1.051949628481376
recording,-1.1903800633768145
udhar,-1.2183632888408051
zindagi,-1.110584791297539
ka_janaza,-1.002968820878938
geet,-1.204272288996426
gal,-1.0332444009051123
naa,-1.1871797652600278
ae,-1.1471997011556343
choti_si,-1.1284473776153707
jate,-1.1927337872736365
jaise,-1.1948658452394343
gai,-1.1992453494693907
har,-1.1793895391861373
taraf,-1.1173155470300544
ataullah_niazi,-1.0960508838786942
singing,-1.1895122359105452
hone_laga,-1.1228483266196008
us_daur,-1.0415057058030646
unhe,-1.217191572952897
be,-1.1497974534125561
iqraar,-1.0305736658130606
de,-1.2215673368729731
kar_diya,-1.2592598353763875
parhte,-1.082705384914642
nahi_bal,-1.2210712709053535
hue,-1.2038448390195147
rakhte_hain,-1.2594987592987754
dosri_taraf,-1.173632582249474
buses,-1.0928212362518537
bol_raha,-1.1082083992445417
tha,-1.132866101010179
taweel,-1.1963963642926227
ke_liye,-1.1391658549835482
ka_ticket,-1.1271458357220312
pehle,-1.1845985879899683
karte,-1.1614129789386154
cassette,-1.0540723204677032
mianwali,-1.2286457787229865
logon,-1.0930620243177462
inhe,-1.1689223047288362
bataya_ke,-1.2014811828960363
naam,-1.1935265556452905
hotel,-1.0725271314613898
khul,-1.0943609585959293
gae,-1.2321677053741336
jagah,-1.1462072346729857
tumhari,-1.1054255845993985
lagi,-1.1776724870214772
farokht,-1.1115129486121202
hoti_hai,-1.1015795043679562
jane,-1.2675658887031533
kiya,-1.1234090432468522
radio_pakistan,-1.2583165725738024
ke_programs,-0.9899070927706904
hukkam,-1.1484855365097755
is_hawale,-1.128318853610285
dabao,-1.1081459379432799
dala,-1.2705216232083516
jata,-1.1386734968312948
apni,-1.19089487875807
karen,-1.1379144406287027
aur_aakhirkar,-1.0953025541689054
majboor,-1.2694085200259686
esakhelvi,-1.0832751059251637
aane,-1.1041684121357733
zamana_tha,-1.0845036931152277
ka_muaawza,-1.0958061395822352
lac,-1.0446942631573302
liya,-1.1712570505365754
karte_the,-1.2065901934034526
tahum,-1.2933358508635748
radio_par,-1.0401520460687121
songs,-1.0796435418207109
rupey,-1.1394261603987796
mila,-1.129331833318368
cash,-1.1321422023508267
karwaya_aur,-1.1122754428141746
aaj_tak,-1.2058582116007204
sambhal,-1.1574591877762852
rakha_hua,-1.1622069897659395
yehi,-1.1557654954859728
se_qabal,-1.225728288966767
audition,-1.1386508601251377
awaaz,-1.1797947962070305
sound,-1.0203810222393175
video,-1.2118840527850465
beron_e,-1.0884452852042075
watan,-1.1510254433375586
aate,-1.1057743752241562
doston,-1.2418569294579833
barhi,-1.1729578678001065
tadaad,-1.0721413780997713
is_tarah,-1.1357616363851972
europe,-1.1623172057296618
mashriq,-1.035706476242874
maqbool,-1.1712508455412682
ban_gae,-1.2192544501053084
pehli,-1.1841855309311955
wahan,-1.1839410103347605
dhoom_macha,-1.0014770083283027
di,-1.1094087938756756
ghair,-1.1849100064029507
apno,-1.038659618982725
yaad,-1.1856698172028082
ki_aankhon,-1.1469715140324523
aansoo,-1.1654989355888075
ho_jate,-1.1913827709778344
naujawan,-1.2271230883411492
aalam_mein,-1.0315922846305536
o,-1.098051737516551
ka_silsila,-1.1564628125309866
ladki,-1.088135645919563
bethe,-1.0829938642920771
lala,-1.1006063650203621
yeh_aezaaz,-0.9603629974199472
ab_tak,-1.1809480317003989
ke_paas,-1.0963397542963176
wale,-1.226047186962381
sab_se,-1.112480028068917
ziyada,-1.1925785814801413
hote_hain,-1.19692097525954
hasil_karne,-1.145491129764467
malika,-1.0545108269801333
hasil_kiya,-1.2117919522135876
karane,-1.1618252555284834
ke_hawale,-1.1848744053417883
karachi,-1.2011880360485223
truck,-1.0531690685456025
drivers,-1.0464665327823053
ka_safar,-1.1592728473813245
hota_hai,-1.2370049665398912
president,-1.2223480455391589
khan,-1.1822295121731283
jinnah,-1.1229064860564706
baaz,-1.293233390459954
dosri,-1.2665611077274335
shakhsiyat,-1.22897093154425
hisson,-1.0789427785493464
bani,-1.143750756251838
nazar_aati,-1.0720003722377183
hain_lekin,-0.9523400538245071
wahid,-1.176295974137919
artist,-1.1308629493257059
hain_jin,-1.1857786759046345
se_wabistegi,-0.9979531440379659
ka_izhaar,-1.270440013872481
piche,-1.148489542317491
tasweer,-1.1475040558371747
she,-1.1266657041193575
played,-0.9877879894624444
role,-1.1599804056467895
drama_serial,-1.0178881682127958
late,-1.0865757620493555
bushra_ansari,-1.1893668137513984
many,-1.1499904780635637
more,-1.247424920169838
different,-1.0985212172749517
awards,-1.1580586999520897
life,-1.1731092335575455
an,-1.1405547669841392
award,-1.125035906342678
pride_of,-1.05997737409744
performance,-1.1472245249447446
women,-0.9904907122539157
from,-1.2034784933618905
benazir_bhutto,-1.2117935498576822
ptv,-1.0227628844035195
style,-1.198777676314304
also,-1.0768122631565638
hona,-1.2184754446396338
beyk_waqt,-1.0243863521883565
drama,-1.2293196744973058
taur_par,-1.1959676987155832
inka,-1.199940001715128
andaaz,-1.196439997882463
munfarid,-1.122718348830153
roop,-1.084026779189821
sanjeeda,-1.1179874280961795
acting,-1.143448015033045
comedy,-1.2033314865602467
hosting_aur,-1.0362203618545798
ab,-1.2129118080343184
nigari,-1.1307128013565775
manwaya,-1.002996620310044
do,-1.1477597261529264
intehai,-1.2350707504786431
masroof,-0.9939206524785011
mashoor,-1.1827531069859196
ke_bawajood,-1.1152079896789833
biwi,-1.2031194855733285
pori,-1.1723059742875954
zimmedari,-1.1136596961508878
adaa_kiya,-1.0821494298126089
bushra,-1.0649097729467352
apni_family,-1.15556944391859
bohat,-1.1272215330979694
fursat,-1.1341542821295016
tamam,-1.2492726032537957
walon,-1.1321772522904052
career,-1.0918313422750945
sirf_saal,-1.2425670310653585
ki_umer,-1.2342068344430528
children,-1.0636616156335714
music,-1.2054702688594348
show,-1.0937933183457798
mala,-1.048048787676641
regular,-1.1492928360529573
ban_gai,-1.2423493780262265
thin,-1.3122096636053373
farooq,-1.0981937944315567
apne,-1.1537649828113539
muntakhib_kiya,-1.030926951630213
ke_ilawa,-1.1841492153131075
ke_deegar,-1.1915906668138099
roles,-1.1036728918078926
gaya,-1.206928296077394
karti_thin,-1.1549690456514201
bunyadi_taur,-0.9740954688136838
ise,-1.2359616543945764
nazreen,-1.148495480894126
barhe,-1.2641534029666233
dekha,-1.1878245857770053
iqbal,-1.1045990716826986
ke_johar,-1.0941484617474044
mili,-1.1462809279848272
bijli,-1.1680335421216628
role_adaa,-1.0915210344234267
loot,-1.175304142069673
character,-1.090810220954821
itna,-1.1531028889064459
kabhi,-1.2216139462137945
kisi,-1.2081942436021085
ke_silsile,-1.1444808153367478
jati,-1.1702714126067868
aeham,-1.2324536847407332
jise,-1.3391746495439067
us,-1.1575603036975337
marhoom,-1.0749262259812347
yadgar,-1.1661748738375608
shows,-1.1693782935925587
ki_tareekh,-1.2233217666149745
maqbool_tareen,-1.034274952839852
fifty,-0.9530177949407697
zehan_mein,-1.1678001677266614
aata_hai,-1.2206126905481964
maqboliyat,-1.3326879691696363
jahan,-1.2427644979125712
ismail,-1.0709602303468744
majid,-1.0930838214445908
jahangir,-1.209884642491721
lajawab,-1.1567602453502344
dakhal_tha,-1.115894083306136
ke_zariye,-1.2451186254351092
na,-1.130386148592774
chori,-1.1893874392234391
chehre,-1.152624733608344
body,-1.1803834278316292
language,-1.174858552096775
umer,-1.1370553392874785
kiye_hain,-1.1712132729411868
jin_mein,-1.2248097845804817
young,-1.1444991997698433
old,-1.1282533310334402
age,-1.135162029278702
shamil_hain,-1.1751435102530707
personality,-0.9943757244226229
malka,-1.0348033684927456
hasil,-1.19766853035528
key_eh,-1.1030374163421437
aik_shandar,-1.08904412781387
malik,-1.18581481537324
apni_salahiyaton,-1.1587634760744927
din,-1.1499790093390112
tadad,-1.223424165426506
mein_izafa,-1.1190513525405763
hota,-1.157742214570205
ja_raha,-1.124284669357131
kyun_ke,-1.1607254007400756
waqt,-1.1947722390709565
apne_kaam,-1.1441635051603825
kya,-1.2337148606493573
tabdeeli,-1.0689324791025736
lai,-1.0808177760735493
ja_sakti,-1.173573686087393
dilkash,-1.1722320181935997
khobsurat,-1.087276506004066
chand,-1.2606051905614524
maah,-1.1515774520896946
qabal,-1.1183307202883186
chaudhry,-1.016705667076834
serial,-1.1806545096232897
mazeed,-1.1974111297300258
bana_diya,-1.1362843826702234
yaar,-1.1658695261808558
ap,-1.1203998100298107
dd,-1.1572894180489732
milay_ga,-1.0616694403815117
hahahaha,-1.28195708824878
acha,-1.2101832907385257
p,-1.1740171321212163
apka,-1.2241104760246266
zehr,-1.0869116111769055
b,-1.084948796477952
nae,-1.2171408771014733
i,-1.1790716686710903
ur,-1.1709055707602491
mjhe,-1.1123379980566683
jb,-1.1934867940864404
ese,-1.2389398491340882
post,-1.1843640735895178
krte,-1.0857218430326185
ki_awaz,-1.23172518848083
meri,-1.1498936977092526
page,-1.1808779565762164
d,-1.1107694694978298
aala,-1.1989842485752216
d_d,-1.2105199809998815
app,-1.2043644555348927
buht,-1.1458333595137216
achi_bat,-0.9675084594607125
kahi,-1.1397680433768076
uff,-1.0366631975955747
soch,-1.1379670231868295
kuch,-1.1521517931694647
apko_b,-1.0537042381410389
kehna,-1.230418795842436
chahti,-1.0783523597171085
hn,-1.1245090578960462
hahaha,-1.1686003590518734
ddd,-1.2116881749623019
famous_ho,-1.0183294020592406
ay,-1.225455560780557
nikal,-1.08247058500315
skta,-1.0674093096714115
u_r,-0.9498849280996937
too,-1.2310962686452283
girl,-1.1525184223633724
khushi,-1.1384826316749905
itne,-1.2916661595330776
dekh,-1.261206330629385
ufff,-0.9853953932680818
dono,-1.1904847318760907
kis,-1.1437357463358468
trha,-1.1465686355359173
chalo,-1.1218787195351039
akhir,-1.2942051712062428
student,-1.0666381242122407
comments,-1.148541497156578
aap,-1.0930577808455069
tau,-1.184916464456072
ban,-1.1450655961108889
jaen,-1.029226059853797
gee,-1.1326045158826679
raho,-1.1238828975417074
imran_khan,-1.1790802877338673
aik_din,-1.2616656989915231
number_one,-1.1331092056966676
per,-1.1554266596949256
aa_jao,-1.0081870211538195
tum,-1.156732515741892
caption,-1.09830194440032
ky,-1.1706017403004407
liye,-1.2132686430287258
saas,-1.0870317655218087
bahu,-1.1577695055981265
rishta,-1.0718500073719104
nawaz_sharif,-1.0916886438581423
r,-1.1105395717762767
hussain,-1.1221450568947606
peeche,-1.1544520893962107
chore,-1.1240736746953808
apnay,-1.248563352046295
kharchay,-1.0581923898858945
khudd,-1.0634518131978132
wali,-1.1864422890480322
aurat,-1.2060822228696182
py,-1.1611120789263152
kiye,-1.1593856090835224
g,-1.169954612478611
tou_boht,-1.088395133972726
azeem,-1.046954463870992
tumhara,-1.172163037540221
rha_hun,-1.0517748549630659
izzat,-1.1308342319737517
k_sath,-1.1447864609699732
guzaar,-1.1272169057251347
rhi,-1.1773602645942451
kehtay_hain,-1.1763267185909718
nazr,-1.069091749902202
kamyab,-1.1739721069422102
mehnat,-1.2053440638819635
himmat,-1.116156741103035
kr,-1.1353289511906808
apna,-1.1822455803573444
k_lie,-1.172461460020213
mrd,-0.940880517238098
talaash,-0.9571636829247973
jaari,-1.17764967831489
kamyaab,-1.027958211947246
naik,-1.1779490001339632
tou,-1.1767622913554054
?,-1.1508620270153538
abhi,-1.1095639496553091
kahan,-1.2083332371583118
hoty_hain,-1.1199249956946478
aese,-1.2157302011344993
hona_chahiye,-1.1559626393407532
bs,-1.2159263655919321
phle,-1.0876474796633233
bolti,-1.1259200070135587
dash,-0.9667872061856754
lga,-1.1885041578523308
dost,-1.2239735514656405
mere_liye,-1.2309233610171904
dd_?,-1.0064164175835444
ps,-1.0781789847463905
chal,-1.2259950520817935
rakh,-1.2483739648914853
kamiyab,-1.241248961902943
sadgi,-1.0944330878232242
mai,-1.1891360725253586
khwab,-1.08375627980441
hmare,-1.0579948800597174
yad,-1.2176753511566454
jesi,-1.131470361098061
karna,-1.1694911424089873
tum_log,-1.219008487366252
go,-1.146561342262708
for_a,-1.057500641057057
!_!,-0.9178435753826274
ad,-1.0464600577390888
ga,-1.1805994379206872
dekho,-1.1015900225059272
hum_ny,-1.1455230266367094
krdia,-1.1841320950468137
kaamyabi,-0.9936316484163602
hoti,-1.2228839595647971
mn,-1.1514479570282914
hoga,-1.1675657616683228
xd,-1.2168718997787675
party,-1.1511514740111517
shoro,-1.080473440937994
hoi,-1.2062343976452576
wife,-1.11310044002316
pay,-1.1760935189349677
k_mutabiq,-1.1308922435481155
debate,-1.0558579873213396
k_baad,-1.1612944291641496
kamyab_aurat,-1.0460796277075717
aap_ko,-1.1292310570379727
jata_hai,-1.2434749317815479
shukria,-1.2023990278086758
yani,-1.120619314374304
hum_dono,-1.0995395548407374
d_?,-0.9765726400418309
psd_?,-0.7042428721912002
kyn,-0.9554301967744323
ek,-1.1746857928974321
lol,-1.2003042313230916
mere_pas,-1.141274123731241
dddd,-1.248584529023563
mard,-1.1499030603186462
mene,-1.1908921885619999
lia,-1.1608452831473643
i_m,-1.0916044169691717
hama,-1.1571983663420067
aisa_hi,-1.1150263419388358
banda,-1.113404943271076
da,-1.1566531110455707
no,-1.1983071500344962
apny,-1.2148849472154473
mukhtasir,-1.02857804275685
krny,-1.160324553747112
?_ps,-0.7049231562189826
hein,-1.1947293404824426
haan,-1.2482046024198366
tou_bari,-1.0316253123666208
bat_ha,-1.1212455808930628
jasy,-1.1488094435460632
men,-1.1709392200935342
khair,-1.15552097683877
bilkul_sahi,-1.2306663161483085
bhai,-1.1493708261401787
ham,-1.1618294009862944
nay,-1.073944777049434
kam_kr,-1.0461656038274167
liay,-1.0709211978158502
mashaallah_allah,-1.0518193840138579
sb,-1.1056798892247794
k_leay,-1.1057098340671794
sana,-0.9526524893037976
bt,-1.1859204847111833
achi_lgi,-0.9980172808410782
point,-1.237779090669225
puray,-1.0356836708595747
kamyabi,-1.284498224870186
tou_mil,-0.8267993083608406
jye,-1.037567059261353
mil_jaye,-1.043965172709666
ln,-1.0319408012025866
haha,-1.2447756074967673
koshish,-1.2305298450023516
krna,-1.154884084163371
hon,-1.195221841382466
bara,-1.2099827374826113
pgl,-1.0017948217818358
choty,-1.0778048600783743
zyada,-1.1863840133121406
m,-1.1435644941270844
hoty,-1.133971640956622
set,-1.1456805923284221
hoa,-1.2618243652286785
milta,-1.1878964852790106
pal,-1.0683599025195807
azam,-1.175021745704845
sy,-1.1119655445471013
vo,-1.1370768528676631
shakhs,-1.1936818534668134
lkn,-1.1292785509316403
phr_b,-1.1898059310353761
wesy,-1.0931657378744983
mil,-1.1926535734179804
sai,-1.1925846024032862
wa,-1.1238849898586891
fir,-1.1083555608377729
uni,-1.1792461145034567
done,-1.1221730916909494
idea,-1.1051545470762425
bura,-1.1793862408615163
nai,-1.192786986610028
sae,-1.1124670159924237
sakoon,-1.0634211715379123
bhale,-1.1066722858830442
mera,-1.1232334678104452
cup,-1.174433425433607
use,-1.2076807736625126
beta,-1.183354677519367
bottle,-1.047749984275945
use_karta,-0.9885082479229286
pyar,-1.1391406631296326
kiaa,-0.9664174952516408
pata,-1.1982718915808375
shareef,-1.144484899141469
tm,-1.2215038918086596
keh,-1.1219831851690256
skti,-1.1373115539054042
apko,-1.0910225877767517
islamabad,-1.1676704960517887
ghalazat,-0.9219947460235651
ddddd,-1.1910253688087904
kahin,-1.1062852182964584
sa_b,-1.1813061815092487
tumhain,-1.0288583802153801
kaisay,-1.1574309227249437
lgta,-1.1218388286937686
hahah,-1.1548191431667942
sharif,-1.2688823351695433
jnb,-1.0801770422897379
haye,-1.0547208151357252
mei,-1.1810435069633056
war,-1.1989762167865152
?_psd,-0.21588647344032774
mere,-1.1446739878094063
kch,-1.1432786323790767
kehne,-1.2018816916278758
se_pehle,-1.161291244043746
smjh,-1.1034015692142227
woh,-1.1455008867285228
masha_allah,-1.1985308876757648
likha_gaya,-1.1456956675355754
area,-1.3184769978419129
square,-1.0498156013418114
yd,-1.035906336112809
krti,-1.1292351897522395
ti,-1.1691665146404275
bibi,-1.1156977576820337
shukar,-1.048987659789372
aesi,-1.2494837863227304
ai,-1.1297131445486772
nh,-1.1707537172365725
shreef,-1.0430103106539017
bohot,-1.1864172736898195
but,-1.2002446791780856
bht,-1.1335250353254325
dair,-1.201939633321594
aye,-1.2202759555257594
kitni,-1.2200023372869198
hu,-1.1297397357552916
meray,-1.1324247425520784
hell,-1.0615236172699538
true,-1.1014496469335056
/,-1.1633077466391193
tusi,-1.0965368144530283
koi_shak,-0.8196895611987387
pyari,-1.129175479336199
k_liay,-1.1816676725649444
khoobsurat,-1.1463303521810726
dafa,-1.1584413993054077
karo,-1.2223502207260823
aj_kal,-1.1900032351324625
lgi,-1.0335852229388443
shabash,-1.0788686000935115
khabeesni,-1.0553446833125468
boli,-1.1171999610126198
saif,-0.9977966126627212
nusrat,-1.22255872905857
api,-1.1361529132265265
sakti,-1.1451841614582634
mazay,-1.0898730121435714
aja,-1.1479700418998682
dabba,-1.079425740817401
khali,-1.102739931400813
ho_ga,-1.1830855453571516
kyun,-1.199439453732714
chuki,-1.1605604171445825
ho_gi,-1.137852506174444
sharab,-1.0872727676182476
sheesha,-1.0535989343426866
sutty,-0.9505154814151051
jani,-1.1172975115121273
ly,-1.2093637048535382
bann,-1.0429438502728205
tujhy,-1.100656584170205
coca_cola,-1.1469320763803128
galiyan,-1.0731310352202375
dety,-1.0788490499586558
nhe,-1.2056633766032547
kro,-1.1997580793263527
bill,-0.9675705775622522
sa,-1.2069263596326796
sasta,-1.0692104183505453
maaf,-1.1315466246507464
india,-1.231607021587838
jao,-1.150100219716364
anum,-1.0621742920569814
ziada,-1.1820419495545806
ane,-1.10380808366981
dod,-1.0867706307456115
achha,-1.0561197360440842
tw,-1.1582852622497786
girls,-1.212505640713998
isliye,-1.133719060075538
judge,-1.2040257668155334
kr_skti,-1.0702809356874157
as_a,-1.016523725781194
tab,-1.1873211930685117
tumain,-1.1168151941147824
ge,-1.2250592162882303
bhe,-1.1579966887479904
maza,-1.2105234241570284
all,-1.22972507058102
rights,-1.0608304569501807
any,-1.2220043722212843
kesy,-1.0895019415819336
points,-1.0346953478766288
krty,-1.1786250639115363
bn,-1.1623901041883893
skty,-1.0694338584121672
kbhi,-1.1556283019665199
bhot,-1.1757156315534745
masoom,-1.15674679298233
don_t,-1.1012822409843437
care,-1.163321510549202
hamen,-1.0533820435720516
saro,-1.115988518551282
our,-1.1727984620476872
zada,-1.215350338328174
cute,-1.149895925346582
uper,-1.1853008183705738
waly,-1.2327229543188518
will,-1.1430272461367812
always,-1.109324624040467
yahe,-1.0073197549096802
kam,-1.148552076779302
best,-1.177528736597628
haii,-1.0675554754023195
hamari,-1.1367524941885512
such,-1.2170843264986697
baray,-1.1828947655190756
achay,-1.2157630482949824
kaam,-1.1191228464005922
anjaam,-1.1234247406607358
detay,-1.044557407816005
dehko,-1.0678642583554396
urdu,-1.1484593182040863
agye,-1.04680203578081
parhna,-1.2041792265101883
koo,-1.1172229668364877
fav,-1.0438703219449617
hmri,-0.9787393282322299
enjoy,-1.102722385257926
karty,-1.1176882897892804
thy,-1.1616375562403496
gari,-1.2068902854993946
fiza,-1.1450236207272266
hahha,-1.150629375487005
usy,-1.1594751485167865
kdr,-1.1184511115132403
bhool,-1.1939955215568938
hahahha,-1.1465057103037066
pooch,-1.03804859467569
samjha,-1.142141586174071
haj,-1.0296343327146982
hen,-1.1931914556912977
behtreen,-1.097854394237054
hogaya,-1.292019437777704
ja,-1.1970442901589748
hajj,-1.0150420193853953
yah,-1.24028034423431
hmara,-1.164993163228987
master,-1.1149021610690126
houn,-1.0445856848813824
haa,-1.104261188100817
ao,-1.16157139169077
gunah,-1.0457833199181634
kum,-1.092826522157389
krty_hain,-1.1259189720773386
unhy,-1.0757158414752563
white,-1.1121678137534976
lgty,-1.1903955285192407
hmari,-1.1621616050689267
sahe,-1.0804728912570805
jaani,-1.0053421956041364
hogi,-1.2227811272400055
i_am,-1.1260992332009294
for_your,-1.0205904343192842
lahore,-1.175817188939269
tera,-1.2179446325081926
hath,-1.1865894451921795
hahahah,-1.274545162523872
kh,-1.1095863257505485
dn,-1.13207903503619
uncle_aunty,-1.0824835546280094
shukriya,-1.237486356546954
hahahahah,-1.0529509210317978
aunty,-1.1692901042304
anty,-1.0739764437409551
i_love,-1.0314776226962115
youd,-1.0523835385985085
salam,-1.1763427127950268
bol,-1.149643274071441
pair,-1.023504264452733
anti,-1.0983515429221542
yes,-1.1398142945443985
course,-1.1982587023406923
bhot_bhot,-1.04677493071479
krdena,-1.0250966272508777
